Year,Period,Geo_Level,State_ANSI,Commodity_ID,Domain,Value
2002,YEAR,STATE,19,4,TOTAL,"12,875,000"
2002,YEAR,STATE,36,4,TOTAL,"247,221,000"
2002,YEAR,STATE,55,4,TOTAL,"71,461,000"
2001,YEAR,STATE,6,4,TOTAL,"264,304,000"
2001,YEAR,STATE,17,4,TOTAL,"12,773,000"
2001,YEAR,STATE,36,4,TOTAL,"252,631,000"
2001,YEAR,STATE,55,4,TOTAL,"77,451,000"
2000,YEAR,STATE,6,4,TOTAL,"257,211,000"
2000,YEAR,STATE,17,4,TOTAL,"11,653,000"
2000,YEAR,STATE,36,4,TOTAL,"247,232,000"
2000,YEAR,STATE,55,4,TOTAL,"77,348,000"
1999,YEAR,STATE,6,4,TOTAL,"238,110,000"
1999,YEAR,STATE,17,4,TOTAL,"10,513,000"
1999,YEAR,STATE,36,4,TOTAL,"250,084,000"
1999,YEAR,STATE,55,4,TOTAL,"66,591,000"
1998,YEAR,STATE,6,4,TOTAL,"200,363,000"
1998,YEAR,STATE,17,4,TOTAL,"16,593,000"
1998,YEAR,STATE,36,4,TOTAL,"233,126,000"
1998,YEAR,STATE,38,4,TOTAL,"23,000"
1998,YEAR,STATE,55,4,TOTAL,"63,274,000"
1997,YEAR,STATE,6,4,TOTAL,"189,561,000"
1997,YEAR,STATE,17,4,TOTAL,"13,903,000"
1997,YEAR,STATE,36,4,TOTAL,"203,204,000"
1997,YEAR,STATE,38,4,TOTAL,"28,000"
1997,YEAR,STATE,47,4,TOTAL,"405,000"
1996,YEAR,STATE,6,4,TOTAL,"196,778,000"
1996,YEAR,STATE,17,4,TOTAL,"15,349,000"
1996,YEAR,STATE,36,4,TOTAL,"208,513,000"
1996,YEAR,STATE,38,4,TOTAL,"28,000"
1996,YEAR,STATE,55,4,TOTAL,"31,776,000"
1995,YEAR,STATE,6,4,TOTAL,"251,651,000"
1995,YEAR,STATE,8,4,TOTAL,"25,229,000"
1995,YEAR,STATE,17,4,TOTAL,"18,575,000"
1995,YEAR,STATE,36,4,TOTAL,"231,805,000"
1995,YEAR,STATE,38,4,TOTAL,"26,000"
1995,YEAR,STATE,47,4,TOTAL,"169,000"
1995,YEAR,STATE,55,4,TOTAL,"25,855,000"
1994,YEAR,STATE,6,4,TOTAL,"286,766,000"
1994,YEAR,STATE,8,4,TOTAL,"28,701,000"
1994,YEAR,STATE,17,4,TOTAL,"18,305,000"
1994,YEAR,STATE,36,4,TOTAL,"229,680,000"
1994,YEAR,STATE,37,4,TOTAL,"4,010,000"
1994,YEAR,STATE,38,4,TOTAL,"28,000"
1994,YEAR,STATE,55,4,TOTAL,"21,476,000"
1993,YEAR,STATE,6,4,TOTAL,"284,944,000"
1993,YEAR,STATE,8,4,TOTAL,"27,097,000"
1993,YEAR,STATE,17,4,TOTAL,"15,267,000"
1993,YEAR,STATE,36,4,TOTAL,"207,202,000"
1993,YEAR,STATE,37,4,TOTAL,"4,697,000"
1993,YEAR,STATE,38,4,TOTAL,"25,000"
1993,YEAR,STATE,48,4,TOTAL,"31,071,000"
1993,YEAR,STATE,55,4,TOTAL,"21,246,000"
1992,YEAR,STATE,6,4,TOTAL,"237,695,000"
1992,YEAR,STATE,8,4,TOTAL,"27,572,000"
1992,YEAR,STATE,12,4,TOTAL,"8,349,000"
1992,YEAR,STATE,17,4,TOTAL,"15,899,000"
1992,YEAR,STATE,26,4,TOTAL,"105,402,000"
1992,YEAR,STATE,36,4,TOTAL,"200,787,000"
1992,YEAR,STATE,37,4,TOTAL,"3,969,000"
1992,YEAR,STATE,48,4,TOTAL,"29,239,000"
1991,YEAR,STATE,6,4,TOTAL,"232,764,000"
1991,YEAR,STATE,12,4,TOTAL,"9,500,000"
1991,YEAR,STATE,17,4,TOTAL,"11,520,000"
1991,YEAR,STATE,19,4,TOTAL,"7,753,000"
1991,YEAR,STATE,36,4,TOTAL,"185,518,000"
1991,YEAR,STATE,37,4,TOTAL,"3,176,000"
1991,YEAR,STATE,42,4,TOTAL,"3,859,000"
1991,YEAR,STATE,48,4,TOTAL,"24,829,000"
1991,YEAR,STATE,55,4,TOTAL,"11,821,000"
1990,YEAR,STATE,6,4,TOTAL,"233,748,000"
1990,YEAR,STATE,17,4,TOTAL,"10,900,000"
1990,YEAR,STATE,19,4,TOTAL,"11,058,000"
1990,YEAR,STATE,36,4,TOTAL,"189,012,000"
1990,YEAR,STATE,37,4,TOTAL,"2,545,000"
1990,YEAR,STATE,48,4,TOTAL,"18,988,000"
1990,YEAR,STATE,55,4,TOTAL,"10,868,000"
